INFO  - 2015-11-27 15:52:24.054; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865589501591 (1519008658544918528)]} 0 1
INFO  - 2015-11-27 15:52:24.058; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865590801591 (1519008658549112832)]} 0 1
INFO  - 2015-11-27 15:52:24.061; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865591701591 (1519008658553307136)]} 0 1
INFO  - 2015-11-27 15:52:24.066; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865592101591 (1519008658556452864)]} 0 2
INFO  - 2015-11-27 15:52:24.070; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865593001591 (1519008658561695744)]} 0 1
INFO  - 2015-11-27 15:52:24.074; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865594601591 (1519008658565890048)]} 0 1
INFO  - 2015-11-27 15:52:24.078; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865595301591 (1519008658570084352)]} 0 1
INFO  - 2015-11-27 15:52:24.083; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865595501591 (1519008658574278656)]} 0 2
INFO  - 2015-11-27 15:52:24.088; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865596601591 (1519008658580570112)]} 0 1
INFO  - 2015-11-27 15:52:24.093; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865598101591 (1519008658585812992)]} 0 1
INFO  - 2015-11-27 15:52:24.098; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865599301591 (1519008658591055872)]} 0 1
INFO  - 2015-11-27 15:52:24.102; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865600301591 (1519008658595250176)]} 0 1
INFO  - 2015-11-27 15:52:24.107; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865600501591 (1519008658599444480)]} 0 2
INFO  - 2015-11-27 15:52:24.111; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865601001591 (1519008658604687360)]} 0 1
INFO  - 2015-11-27 15:52:24.115; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865601401591 (1519008658608881664)]} 0 1
INFO  - 2015-11-27 15:52:24.120; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865561101591 (1519008658613075968)]} 0 2
INFO  - 2015-11-27 15:52:24.125; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865563401591 (1519008658618318848)]} 0 2
INFO  - 2015-11-27 15:52:24.129; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865564801591 (1519008658623561728)]} 0 1
INFO  - 2015-11-27 15:52:24.132; org.apache.solr.update.processor.LogUpdateProcessor; [biblio] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[9955865565601591 (1519008658627756032)]} 0 0
